template,mode,N,run,fork_idx,latency_ms,preload_ms,e2e_ms
alpine-base/v1,cold-start,1,0,0,3725.845,0.000,3725.845
alpine-base/v1,cold-start,1,1,0,4715.507,0.000,4715.507
alpine-base/v1,cold-start,1,2,0,5145.773,0.000,5145.773
alpine-base/v1,fork-cold,1,0,0,5.102,0.000,5.102
alpine-base/v1,fork-cold,1,1,0,7.307,0.000,7.307
alpine-base/v1,fork-cold,1,2,0,4.941,0.000,4.941
alpine-base/v1,fork-cold,1,3,0,5.280,0.000,5.280
alpine-base/v1,fork-cold,1,4,0,4.856,0.000,4.856
alpine-base/v1,fork-cold,1,5,0,4.882,0.000,4.882
alpine-base/v1,fork-cold,1,6,0,5.261,0.000,5.261
alpine-base/v1,fork-cold,1,7,0,5.152,0.000,5.152
alpine-base/v1,fork-cold,1,8,0,5.078,0.000,5.078
alpine-base/v1,fork-cold,1,9,0,4.727,0.000,4.727
alpine-base/v1,fork-cold,4,0,0,5.655,0.000,5.655
alpine-base/v1,fork-cold,4,0,1,5.485,0.000,5.485
alpine-base/v1,fork-cold,4,0,2,8.463,0.000,8.463
alpine-base/v1,fork-cold,4,0,3,8.350,0.000,8.350
alpine-base/v1,fork-cold,4,1,0,6.385,0.000,6.385
alpine-base/v1,fork-cold,4,1,1,8.304,0.000,8.304
alpine-base/v1,fork-cold,4,1,2,13.331,0.000,13.331
alpine-base/v1,fork-cold,4,1,3,5.349,0.000,5.349
alpine-base/v1,fork-cold,4,2,0,6.848,0.000,6.848
alpine-base/v1,fork-cold,4,2,1,5.085,0.000,5.085
alpine-base/v1,fork-cold,4,2,2,15.106,0.000,15.106
alpine-base/v1,fork-cold,4,2,3,9.136,0.000,9.136
alpine-base/v1,fork-cold,4,3,0,6.234,0.000,6.234
alpine-base/v1,fork-cold,4,3,1,6.611,0.000,6.611
alpine-base/v1,fork-cold,4,3,2,10.936,0.000,10.936
alpine-base/v1,fork-cold,4,3,3,9.981,0.000,9.981
alpine-base/v1,fork-cold,4,4,0,7.280,0.000,7.280
alpine-base/v1,fork-cold,4,4,1,9.302,0.000,9.302
alpine-base/v1,fork-cold,4,4,2,10.034,0.000,10.034
alpine-base/v1,fork-cold,4,4,3,7.457,0.000,7.457
alpine-base/v1,fork-cold,4,5,0,13.253,0.000,13.253
alpine-base/v1,fork-cold,4,5,1,6.940,0.000,6.940
alpine-base/v1,fork-cold,4,5,2,6.964,0.000,6.964
alpine-base/v1,fork-cold,4,5,3,13.208,0.000,13.208
alpine-base/v1,fork-cold,4,6,0,5.702,0.000,5.702
alpine-base/v1,fork-cold,4,6,1,9.079,0.000,9.079
alpine-base/v1,fork-cold,4,6,2,6.033,0.000,6.033
alpine-base/v1,fork-cold,4,6,3,6.315,0.000,6.315
alpine-base/v1,fork-cold,4,7,0,8.364,0.000,8.364
alpine-base/v1,fork-cold,4,7,1,7.346,0.000,7.346
alpine-base/v1,fork-cold,4,7,2,5.757,0.000,5.757
alpine-base/v1,fork-cold,4,7,3,6.372,0.000,6.372
alpine-base/v1,fork-cold,4,8,0,6.730,0.000,6.730
alpine-base/v1,fork-cold,4,8,1,6.810,0.000,6.810
alpine-base/v1,fork-cold,4,8,2,6.677,0.000,6.677
alpine-base/v1,fork-cold,4,8,3,6.131,0.000,6.131
