template,mode,N,run,fork_idx,latency_ms,preload_ms,e2e_ms
llm-client/v1,fan-out,1,0,0,5.689,845.704,851.393
llm-client/v1,fan-out,1,1,0,5.241,850.363,855.604
llm-client/v1,fan-out,1,2,0,5.630,851.544,857.174
llm-client/v1,fan-out,1,3,0,5.059,849.257,854.315
llm-client/v1,fan-out,1,4,0,6.206,856.753,862.959
llm-client/v1,fan-out,4,0,0,6.234,850.071,856.306
llm-client/v1,fan-out,4,0,1,11.829,859.106,870.935
llm-client/v1,fan-out,4,0,2,8.909,843.737,852.646
llm-client/v1,fan-out,4,0,3,9.003,850.141,859.144
llm-client/v1,fan-out,4,1,0,11.000,844.201,855.201
llm-client/v1,fan-out,4,1,1,9.777,848.360,858.137
llm-client/v1,fan-out,4,1,2,12.998,857.731,870.729
llm-client/v1,fan-out,4,1,3,5.729,846.310,852.040
llm-client/v1,fan-out,4,2,0,8.062,855.238,863.300
llm-client/v1,fan-out,4,2,1,13.202,848.805,862.007
llm-client/v1,fan-out,4,2,2,14.134,858.136,872.271
llm-client/v1,fan-out,4,2,3,5.365,851.309,856.674
llm-client/v1,fan-out,4,3,0,6.004,863.914,869.918
llm-client/v1,fan-out,4,3,1,6.249,862.858,869.107
llm-client/v1,fan-out,4,3,2,6.330,857.731,864.060
llm-client/v1,fan-out,4,3,3,6.164,855.220,861.383
llm-client/v1,fan-out,4,4,0,9.053,854.254,863.308
llm-client/v1,fan-out,4,4,1,10.633,858.430,869.063
llm-client/v1,fan-out,4,4,2,12.048,856.265,868.314
llm-client/v1,fan-out,4,4,3,9.371,848.522,857.894
llm-client/v1,fan-out,16,0,0,21.974,1041.553,1063.527
llm-client/v1,fan-out,16,0,1,43.313,1014.730,1058.042
llm-client/v1,fan-out,16,0,2,10.542,1035.096,1045.638
llm-client/v1,fan-out,16,0,3,18.936,1039.303,1058.238
llm-client/v1,fan-out,16,0,4,34.775,1028.183,1062.958
llm-client/v1,fan-out,16,0,5,24.740,991.614,1016.354
llm-client/v1,fan-out,16,0,6,40.777,1041.265,1082.042
llm-client/v1,fan-out,16,0,7,32.340,1017.638,1049.978
llm-client/v1,fan-out,16,0,8,19.559,978.010,997.569
llm-client/v1,fan-out,16,0,9,11.994,1003.695,1015.689
llm-client/v1,fan-out,16,0,10,30.808,1005.258,1036.066
llm-client/v1,fan-out,16,0,11,42.680,1030.191,1072.871
llm-client/v1,fan-out,16,0,12,32.975,1024.487,1057.462
llm-client/v1,fan-out,16,0,13,38.377,1006.937,1045.314
llm-client/v1,fan-out,16,0,14,36.645,1021.443,1058.089
llm-client/v1,fan-out,16,0,15,38.310,1033.693,1072.003
llm-client/v1,fan-out,16,1,0,12.521,1000.610,1013.131
llm-client/v1,fan-out,16,1,1,22.244,999.533,1021.777
llm-client/v1,fan-out,16,1,2,29.460,902.120,931.579
llm-client/v1,fan-out,16,1,3,33.004,901.915,934.919
llm-client/v1,fan-out,16,1,4,39.884,1013.839,1053.723
llm-client/v1,fan-out,16,1,5,45.414,922.757,968.171
llm-client/v1,fan-out,16,1,6,39.353,970.437,1009.789
llm-client/v1,fan-out,16,1,7,41.339,961.934,1003.273
llm-client/v1,fan-out,16,1,8,43.853,989.255,1033.108
llm-client/v1,fan-out,16,1,9,21.210,967.835,989.044
llm-client/v1,fan-out,16,1,10,28.659,964.485,993.144
llm-client/v1,fan-out,16,1,11,31.118,992.955,1024.073
llm-client/v1,fan-out,16,1,12,27.911,968.621,996.532
llm-client/v1,fan-out,16,1,13,25.774,1006.293,1032.067
llm-client/v1,fan-out,16,1,14,38.189,1015.705,1053.894
llm-client/v1,fan-out,16,1,15,25.172,1013.819,1038.991
llm-client/v1,fan-out,16,2,0,17.211,1051.500,1068.712
llm-client/v1,fan-out,16,2,1,20.530,982.203,1002.733
llm-client/v1,fan-out,16,2,2,46.115,1026.276,1072.390
llm-client/v1,fan-out,16,2,3,55.251,1033.495,1088.745
llm-client/v1,fan-out,16,2,4,18.403,985.460,1003.864
llm-client/v1,fan-out,16,2,5,13.168,995.941,1009.109
llm-client/v1,fan-out,16,2,6,15.138,981.633,996.771
llm-client/v1,fan-out,16,2,7,39.164,1045.920,1085.084
llm-client/v1,fan-out,16,2,8,28.089,976.123,1004.212
llm-client/v1,fan-out,16,2,9,31.193,1015.672,1046.864
llm-client/v1,fan-out,16,2,10,31.127,1004.481,1035.608
llm-client/v1,fan-out,16,2,11,15.455,1025.991,1041.446
llm-client/v1,fan-out,16,2,12,19.541,958.551,978.092
llm-client/v1,fan-out,16,2,13,16.595,1043.945,1060.539
llm-client/v1,fan-out,16,2,14,34.617,1037.870,1072.487
llm-client/v1,fan-out,16,2,15,34.217,1042.130,1076.348
llm-client/v1,fan-out,16,3,0,19.839,954.129,973.969
llm-client/v1,fan-out,16,3,1,20.067,1017.007,1037.074
llm-client/v1,fan-out,16,3,2,22.098,943.470,965.569
llm-client/v1,fan-out,16,3,3,28.939,1014.591,1043.531
llm-client/v1,fan-out,16,3,4,15.324,988.733,1004.057
llm-client/v1,fan-out,16,3,5,16.780,1000.316,1017.097
llm-client/v1,fan-out,16,3,6,19.370,955.533,974.903
llm-client/v1,fan-out,16,3,7,18.985,1011.970,1030.955
llm-client/v1,fan-out,16,3,8,31.287,1010.397,1041.683
llm-client/v1,fan-out,16,3,9,17.012,998.111,1015.123
llm-client/v1,fan-out,16,3,10,46.361,999.931,1046.292
llm-client/v1,fan-out,16,3,11,16.952,1003.881,1020.834
llm-client/v1,fan-out,16,3,12,23.606,969.762,993.368
llm-client/v1,fan-out,16,3,13,40.723,973.460,1014.183
llm-client/v1,fan-out,16,3,14,40.662,978.513,1019.175
llm-client/v1,fan-out,16,3,15,12.169,975.913,988.082
llm-client/v1,fan-out,16,4,0,41.214,1041.712,1082.926
llm-client/v1,fan-out,16,4,1,48.744,1003.556,1052.300
llm-client/v1,fan-out,16,4,2,36.434,1021.582,1058.016
llm-client/v1,fan-out,16,4,3,14.532,1013.402,1027.934
llm-client/v1,fan-out,16,4,4,36.019,943.410,979.429
llm-client/v1,fan-out,16,4,5,36.794,1030.268,1067.062
llm-client/v1,fan-out,16,4,6,40.268,998.970,1039.238
llm-client/v1,fan-out,16,4,7,42.976,1025.104,1068.080
llm-client/v1,fan-out,16,4,8,45.897,975.274,1021.172
llm-client/v1,fan-out,16,4,9,18.292,997.645,1015.937
llm-client/v1,fan-out,16,4,10,20.645,996.151,1016.795
llm-client/v1,fan-out,16,4,11,10.693,998.090,1008.783
llm-client/v1,fan-out,16,4,12,24.075,1025.602,1049.678
llm-client/v1,fan-out,16,4,13,40.125,1009.155,1049.281
llm-client/v1,fan-out,16,4,14,30.957,996.045,1027.002
llm-client/v1,fan-out,16,4,15,18.166,1030.361,1048.526
llm-client/v1,fan-out,32,0,0,60.296,1230.587,1290.883
llm-client/v1,fan-out,32,0,1,67.391,1234.749,1302.140
llm-client/v1,fan-out,32,0,2,48.257,1176.732,1224.990
llm-client/v1,fan-out,32,0,3,38.323,1211.934,1250.257
llm-client/v1,fan-out,32,0,4,38.049,1142.908,1180.957
llm-client/v1,fan-out,32,0,5,61.421,1193.252,1254.674
llm-client/v1,fan-out,32,0,6,63.559,1213.039,1276.598
