template,mode,N,run,fork_idx,latency_ms,preload_ms,e2e_ms
llama-3.2-1b-q4/v1,cold-start,1,0,0,30938.797,0.000,30938.797
llama-3.2-1b-q4/v1,cold-start,1,1,0,32336.102,0.000,32336.102
llama-3.2-1b-q4/v1,cold-start,1,2,0,33700.100,0.000,33700.100
llama-3.2-1b-q4/v1,fork-cold,1,0,0,38.435,0.000,38.435
llama-3.2-1b-q4/v1,fork-cold,1,1,0,5.928,0.000,5.928
llama-3.2-1b-q4/v1,fork-cold,1,2,0,5.562,0.000,5.562
llama-3.2-1b-q4/v1,fork-cold,1,3,0,8.259,0.000,8.259
llama-3.2-1b-q4/v1,fork-cold,1,4,0,7.787,0.000,7.787
llama-3.2-1b-q4/v1,fork-cold,1,5,0,5.809,0.000,5.809
llama-3.2-1b-q4/v1,fork-cold,1,6,0,6.083,0.000,6.083
llama-3.2-1b-q4/v1,fork-cold,1,7,0,5.712,0.000,5.712
llama-3.2-1b-q4/v1,fork-cold,1,8,0,5.665,0.000,5.665
llama-3.2-1b-q4/v1,fork-cold,1,9,0,5.360,0.000,5.360
llama-3.2-1b-q4/v1,fork-cold,4,0,0,20.010,0.000,20.010
llama-3.2-1b-q4/v1,fork-cold,4,0,1,19.609,0.000,19.609
llama-3.2-1b-q4/v1,fork-cold,4,0,2,20.368,0.000,20.368
llama-3.2-1b-q4/v1,fork-cold,4,0,3,18.969,0.000,18.969
llama-3.2-1b-q4/v1,fork-cold,4,1,0,10.236,0.000,10.236
llama-3.2-1b-q4/v1,fork-cold,4,1,1,7.093,0.000,7.093
llama-3.2-1b-q4/v1,fork-cold,4,1,2,7.787,0.000,7.787
llama-3.2-1b-q4/v1,fork-cold,4,1,3,9.340,0.000,9.340
llama-3.2-1b-q4/v1,fork-cold,4,2,0,9.254,0.000,9.254
llama-3.2-1b-q4/v1,fork-cold,4,2,1,10.387,0.000,10.387
llama-3.2-1b-q4/v1,fork-cold,4,2,2,9.267,0.000,9.267
llama-3.2-1b-q4/v1,fork-cold,4,2,3,6.475,0.000,6.475
llama-3.2-1b-q4/v1,fork-cold,4,3,0,10.721,0.000,10.721
