template,mode,N,run,fork_idx,latency_ms,preload_ms,e2e_ms
python-sci/v1,cold-start,1,0,0,4938.642,0.000,4938.642
python-sci/v1,cold-start,1,1,0,5202.377,0.000,5202.377
python-sci/v1,cold-start,1,2,0,5099.269,0.000,5099.269
python-sci/v1,fork-cold,1,0,0,28.272,0.000,28.272
python-sci/v1,fork-cold,1,1,0,5.508,0.000,5.508
python-sci/v1,fork-cold,1,2,0,7.994,0.000,7.994
python-sci/v1,fork-cold,1,3,0,5.580,0.000,5.580
python-sci/v1,fork-cold,1,4,0,4.993,0.000,4.993
python-sci/v1,fork-cold,1,5,0,4.923,0.000,4.923
python-sci/v1,fork-cold,1,6,0,5.628,0.000,5.628
python-sci/v1,fork-cold,1,7,0,7.810,0.000,7.810
python-sci/v1,fork-cold,1,8,0,5.160,0.000,5.160
python-sci/v1,fork-cold,1,9,0,5.134,0.000,5.134
python-sci/v1,fork-cold,4,0,0,5.910,0.000,5.910
python-sci/v1,fork-cold,4,0,1,7.991,0.000,7.991
python-sci/v1,fork-cold,4,0,2,7.534,0.000,7.534
python-sci/v1,fork-cold,4,0,3,7.737,0.000,7.737
python-sci/v1,fork-cold,4,1,0,6.521,0.000,6.521
python-sci/v1,fork-cold,4,1,1,5.574,0.000,5.574
python-sci/v1,fork-cold,4,1,2,7.360,0.000,7.360
python-sci/v1,fork-cold,4,1,3,6.350,0.000,6.350
python-sci/v1,fork-cold,4,2,0,7.731,0.000,7.731
python-sci/v1,fork-cold,4,2,1,8.455,0.000,8.455
python-sci/v1,fork-cold,4,2,2,7.201,0.000,7.201
python-sci/v1,fork-cold,4,2,3,6.301,0.000,6.301
python-sci/v1,fork-cold,4,3,0,9.646,0.000,9.646
python-sci/v1,fork-cold,4,3,1,6.655,0.000,6.655
python-sci/v1,fork-cold,4,3,2,5.623,0.000,5.623
python-sci/v1,fork-cold,4,3,3,8.289,0.000,8.289
python-sci/v1,fork-cold,4,4,0,5.839,0.000,5.839
python-sci/v1,fork-cold,4,4,1,7.630,0.000,7.630
python-sci/v1,fork-cold,4,4,2,9.089,0.000,9.089
python-sci/v1,fork-cold,4,4,3,9.275,0.000,9.275
python-sci/v1,fork-cold,4,5,0,12.132,0.000,12.132
python-sci/v1,fork-cold,4,5,1,12.121,0.000,12.121
python-sci/v1,fork-cold,4,5,2,8.009,0.000,8.009
python-sci/v1,fork-cold,4,5,3,9.220,0.000,9.220
python-sci/v1,fork-cold,4,6,0,14.271,0.000,14.271
python-sci/v1,fork-cold,4,6,1,12.964,0.000,12.964
python-sci/v1,fork-cold,4,6,2,5.503,0.000,5.503
python-sci/v1,fork-cold,4,6,3,6.790,0.000,6.790
python-sci/v1,fork-cold,4,7,0,12.585,0.000,12.585
python-sci/v1,fork-cold,4,7,1,6.447,0.000,6.447
python-sci/v1,fork-cold,4,7,2,11.309,0.000,11.309
python-sci/v1,fork-cold,4,7,3,12.444,0.000,12.444
python-sci/v1,fork-cold,4,8,0,9.337,0.000,9.337
python-sci/v1,fork-cold,4,8,1,5.696,0.000,5.696
python-sci/v1,fork-cold,4,8,2,10.893,0.000,10.893
python-sci/v1,fork-cold,4,8,3,12.637,0.000,12.637
python-sci/v1,fork-cold,4,9,0,16.414,0.000,16.414
python-sci/v1,fork-cold,4,9,1,12.553,0.000,12.553
python-sci/v1,fork-cold,4,9,2,9.602,0.000,9.602
python-sci/v1,fork-cold,4,9,3,11.139,0.000,11.139
python-sci/v1,fork-cold,16,0,0,22.457,0.000,22.457
python-sci/v1,fork-cold,16,0,1,16.491,0.000,16.491
python-sci/v1,fork-cold,16,0,2,20.775,0.000,20.775
python-sci/v1,fork-cold,16,0,3,31.146,0.000,31.146
python-sci/v1,fork-cold,16,0,4,41.517,0.000,41.517
python-sci/v1,fork-cold,16,0,5,44.161,0.000,44.161
python-sci/v1,fork-cold,16,0,6,29.232,0.000,29.232
python-sci/v1,fork-cold,16,0,7,23.083,0.000,23.083
python-sci/v1,fork-cold,16,0,8,46.632,0.000,46.632
python-sci/v1,fork-cold,16,0,9,31.264,0.000,31.264
python-sci/v1,fork-cold,16,0,10,20.065,0.000,20.065
python-sci/v1,fork-cold,16,0,11,20.475,0.000,20.475
python-sci/v1,fork-cold,16,0,12,37.364,0.000,37.364
python-sci/v1,fork-cold,16,0,13,45.335,0.000,45.335
python-sci/v1,fork-cold,16,0,14,63.224,0.000,63.224
python-sci/v1,fork-cold,16,0,15,12.672,0.000,12.672
python-sci/v1,fork-cold,16,1,0,23.887,0.000,23.887
python-sci/v1,fork-cold,16,1,1,36.256,0.000,36.256
python-sci/v1,fork-cold,16,1,2,19.940,0.000,19.940
python-sci/v1,fork-cold,16,1,3,32.464,0.000,32.464
python-sci/v1,fork-cold,16,1,4,30.921,0.000,30.921
python-sci/v1,fork-cold,16,1,5,15.552,0.000,15.552
python-sci/v1,fork-cold,16,1,6,56.082,0.000,56.082
python-sci/v1,fork-cold,16,1,7,37.587,0.000,37.587
python-sci/v1,fork-cold,16,1,8,33.176,0.000,33.176
python-sci/v1,fork-cold,16,1,9,31.100,0.000,31.100
python-sci/v1,fork-cold,16,1,10,38.037,0.000,38.037
python-sci/v1,fork-cold,16,1,11,12.490,0.000,12.490
python-sci/v1,fork-cold,16,1,12,41.315,0.000,41.315
python-sci/v1,fork-cold,16,1,13,23.065,0.000,23.065
python-sci/v1,fork-cold,16,1,14,13.105,0.000,13.105
python-sci/v1,fork-cold,16,1,15,42.631,0.000,42.631
python-sci/v1,fork-cold,16,2,0,51.541,0.000,51.541
python-sci/v1,fork-cold,16,2,1,36.960,0.000,36.960
python-sci/v1,fork-cold,16,2,2,36.504,0.000,36.504
python-sci/v1,fork-cold,16,2,3,40.337,0.000,40.337
python-sci/v1,fork-cold,16,2,4,14.381,0.000,14.381
python-sci/v1,fork-cold,16,2,5,16.002,0.000,16.002
python-sci/v1,fork-cold,16,2,6,25.531,0.000,25.531
python-sci/v1,fork-cold,16,2,7,25.138,0.000,25.138
python-sci/v1,fork-cold,16,2,8,40.944,0.000,40.944
python-sci/v1,fork-cold,16,2,9,16.868,0.000,16.868
python-sci/v1,fork-cold,16,2,10,32.486,0.000,32.486
python-sci/v1,fork-cold,16,2,11,27.962,0.000,27.962
python-sci/v1,fork-cold,16,2,12,28.221,0.000,28.221
python-sci/v1,fork-cold,16,2,13,25.691,0.000,25.691
