template,mode,N,run,fork_idx,latency_ms,preload_ms,e2e_ms
python/v1,cold-start,1,0,0,4731.132,0.000,4731.132
python/v1,cold-start,1,1,0,4207.502,0.000,4207.502
python/v1,cold-start,1,2,0,4439.279,0.000,4439.279
python/v1,fork-cold,1,0,0,17.396,0.000,17.396
python/v1,fork-cold,1,1,0,4.913,0.000,4.913
python/v1,fork-cold,1,2,0,8.098,0.000,8.098
python/v1,fork-cold,1,3,0,5.056,0.000,5.056
python/v1,fork-cold,1,4,0,5.870,0.000,5.870
python/v1,fork-cold,1,5,0,4.966,0.000,4.966
python/v1,fork-cold,1,6,0,5.041,0.000,5.041
python/v1,fork-cold,1,7,0,5.607,0.000,5.607
python/v1,fork-cold,1,8,0,7.406,0.000,7.406
python/v1,fork-cold,1,9,0,4.969,0.000,4.969
python/v1,fork-cold,4,0,0,6.122,0.000,6.122
python/v1,fork-cold,4,0,1,6.754,0.000,6.754
python/v1,fork-cold,4,0,2,6.722,0.000,6.722
python/v1,fork-cold,4,0,3,5.648,0.000,5.648
python/v1,fork-cold,4,1,0,5.735,0.000,5.735
python/v1,fork-cold,4,1,1,6.887,0.000,6.887
python/v1,fork-cold,4,1,2,7.014,0.000,7.014
python/v1,fork-cold,4,1,3,6.013,0.000,6.013
python/v1,fork-cold,4,2,0,6.656,0.000,6.656
python/v1,fork-cold,4,2,1,8.212,0.000,8.212
python/v1,fork-cold,4,2,2,8.079,0.000,8.079
python/v1,fork-cold,4,2,3,8.229,0.000,8.229
python/v1,fork-cold,4,3,0,6.644,0.000,6.644
python/v1,fork-cold,4,3,1,5.052,0.000,5.052
python/v1,fork-cold,4,3,2,6.597,0.000,6.597
python/v1,fork-cold,4,3,3,4.808,0.000,4.808
python/v1,fork-cold,4,4,0,9.598,0.000,9.598
python/v1,fork-cold,4,4,1,7.075,0.000,7.075
python/v1,fork-cold,4,4,2,7.169,0.000,7.169
python/v1,fork-cold,4,4,3,6.598,0.000,6.598
python/v1,fork-cold,4,5,0,5.651,0.000,5.651
python/v1,fork-cold,4,5,1,10.738,0.000,10.738
python/v1,fork-cold,4,5,2,6.826,0.000,6.826
python/v1,fork-cold,4,5,3,8.788,0.000,8.788
python/v1,fork-cold,4,6,0,6.193,0.000,6.193
python/v1,fork-cold,4,6,1,4.816,0.000,4.816
python/v1,fork-cold,4,6,2,6.727,0.000,6.727
python/v1,fork-cold,4,6,3,7.785,0.000,7.785
python/v1,fork-cold,4,7,0,9.860,0.000,9.860
python/v1,fork-cold,4,7,1,5.844,0.000,5.844
python/v1,fork-cold,4,7,2,6.789,0.000,6.789
